Variable Name,Type
timeBodyGyro.min.Z,num
timeBodyGyro.sma,num
timeBodyGyro.energy.X,num
timeBodyGyro.energy.Y,num
timeBodyGyro.energy.Z,num
timeBodyGyro.iqr.X,num
timeBodyGyro.iqr.Y,num
timeBodyGyro.iqr.Z,num
timeBodyGyro.entropy.X,num
timeBodyGyro.entropy.Y,num
timeBodyGyro.entropy.Z,num
timeBodyGyro.arCoeff.X1,num
timeBodyGyro.arCoeff.X2,num
timeBodyGyro.arCoeff.X3,num
timeBodyGyro.arCoeff.X4,num
timeBodyGyro.arCoeff.Y1,num
timeBodyGyro.arCoeff.Y2,num
timeBodyGyro.arCoeff.Y3,num
timeBodyGyro.arCoeff.Y4,num
timeBodyGyro.arCoeff.Z1,num
timeBodyGyro.arCoeff.Z2,num
timeBodyGyro.arCoeff.Z3,num
timeBodyGyro.arCoeff.Z4,num
timeBodyGyro.correlation.XY,num
timeBodyGyro.correlation.XZ,num
timeBodyGyro.correlation.YZ,num
timeBodyGyroJerk.mean.X,num
timeBodyGyroJerk.mean.Y,num
timeBodyGyroJerk.mean.Z,num
timeBodyGyroJerk.std.X,num
timeBodyGyroJerk.std.Y,num
timeBodyGyroJerk.std.Z,num
timeBodyGyroJerk.mad.X,num
timeBodyGyroJerk.mad.Y,num
timeBodyGyroJerk.mad.Z,num
timeBodyGyroJerk.max.X,num
timeBodyGyroJerk.max.Y,num
timeBodyGyroJerk.max.Z,num
timeBodyGyroJerk.min.X,num
timeBodyGyroJerk.min.Y,num
timeBodyGyroJerk.min.Z,num
timeBodyGyroJerk.sma,num
timeBodyGyroJerk.energy.X,num
timeBodyGyroJerk.energy.Y,num
timeBodyGyroJerk.energy.Z,num
timeBodyGyroJerk.iqr.X,num
timeBodyGyroJerk.iqr.Y,num
timeBodyGyroJerk.iqr.Z,num
timeBodyGyroJerk.entropy.X,num
timeBodyGyroJerk.entropy.Y,num
timeBodyGyroJerk.entropy.Z,num
timeBodyGyroJerk.arCoeff.X1,num
timeBodyGyroJerk.arCoeff.X2,num
timeBodyGyroJerk.arCoeff.X3,num
timeBodyGyroJerk.arCoeff.X4,num
timeBodyGyroJerk.arCoeff.Y1,num
timeBodyGyroJerk.arCoeff.Y2,num
timeBodyGyroJerk.arCoeff.Y3,num
timeBodyGyroJerk.arCoeff.Y4,num
timeBodyGyroJerk.arCoeff.Z1,num
timeBodyGyroJerk.arCoeff.Z2,num
timeBodyGyroJerk.arCoeff.Z3,num
timeBodyGyroJerk.arCoeff.Z4,num
timeBodyGyroJerk.correlation.XY,num
timeBodyGyroJerk.correlation.XZ,num
timeBodyGyroJerk.correlation.YZ,num
timeBodyAccMag.mean,num
timeBodyAccMag.std,num
timeBodyAccMag.mad,num
timeBodyAccMag.max,num
timeBodyAccMag.min,num
timeBodyAccMag.sma,num
timeBodyAccMag.energy,num
timeBodyAccMag.iqr,num
timeBodyAccMag.entropy,num
timeBodyAccMag.arCoeff1,num
timeBodyAccMag.arCoeff2,num
timeBodyAccMag.arCoeff3,num
timeBodyAccMag.arCoeff4,num
timeGravityAccMag.mean,num
timeGravityAccMag.std,num
timeGravityAccMag.mad,num
timeGravityAccMag.max,num
timeGravityAccMag.min,num
timeGravityAccMag.sma,num
timeGravityAccMag.energy,num
timeGravityAccMag.iqr,num
timeGravityAccMag.entropy,num
timeGravityAccMag.arCoeff1,num
timeGravityAccMag.arCoeff2,num
timeGravityAccMag.arCoeff3,num
timeGravityAccMag.arCoeff4,num
timeBodyAccJerkMag.mean,num
timeBodyAccJerkMag.std,num
timeBodyAccJerkMag.mad,num
timeBodyAccJerkMag.max,num
timeBodyAccJerkMag.min,num
timeBodyAccJerkMag.sma,num
timeBodyAccJerkMag.energy,num
timeBodyAccJerkMag.iqr,num
timeBodyAccJerkMag.entropy,num
timeBodyAccJerkMag.arCoeff1,num
timeBodyAccJerkMag.arCoeff2,num
timeBodyAccJerkMag.arCoeff3,num
timeBodyAccJerkMag.arCoeff4,num
timeBodyGyroMag.mean,num
timeBodyGyroMag.std,num
timeBodyGyroMag.mad,num
timeBodyGyroMag.max,num
timeBodyGyroMag.min,num
timeBodyGyroMag.sma,num
timeBodyGyroMag.energy,num
timeBodyGyroMag.iqr,num
timeBodyGyroMag.entropy,num
timeBodyGyroMag.arCoeff1,num
timeBodyGyroMag.arCoeff2,num
timeBodyGyroMag.arCoeff3,num
timeBodyGyroMag.arCoeff4,num
timeBodyGyroJerkMag.mean,num
timeBodyGyroJerkMag.std,num
timeBodyGyroJerkMag.mad,num
timeBodyGyroJerkMag.max,num
timeBodyGyroJerkMag.min,num
timeBodyGyroJerkMag.sma,num
timeBodyGyroJerkMag.energy,num
timeBodyGyroJerkMag.iqr,num
timeBodyGyroJerkMag.entropy,num
timeBodyGyroJerkMag.arCoeff1,num
timeBodyGyroJerkMag.arCoeff2,num
timeBodyGyroJerkMag.arCoeff3,num
timeBodyGyroJerkMag.arCoeff4,num
freqBodyAcc.mean.X,num
freqBodyAcc.mean.Y,num
freqBodyAcc.mean.Z,num
freqBodyAcc.std.X,num
freqBodyAcc.std.Y,num
freqBodyAcc.std.Z,num
freqBodyAcc.mad.X,num
freqBodyAcc.mad.Y,num
freqBodyAcc.mad.Z,num
freqBodyAcc.max.X,num
freqBodyAcc.max.Y,num
freqBodyAcc.max.Z,num
freqBodyAcc.min.X,num
freqBodyAcc.min.Y,num
freqBodyAcc.min.Z,num
freqBodyAcc.sma,num
freqBodyAcc.energy.X,num
freqBodyAcc.energy.Y,num
freqBodyAcc.energy.Z,num
freqBodyAcc.iqr.X,num
freqBodyAcc.iqr.Y,num
freqBodyAcc.iqr.Z,num
freqBodyAcc.entropy.X,num
freqBodyAcc.entropy.Y,num
freqBodyAcc.entropy.Z,num
freqBodyAcc.maxInds.X,num
freqBodyAcc.maxInds.Y,num
freqBodyAcc.maxInds.Z,num
freqBodyAcc.meanFreq.X,num
freqBodyAcc.meanFreq.Y,num
freqBodyAcc.meanFreq.Z,num
freqBodyAcc.skewness.X,num
freqBodyAcc.kurtosis.X,num
freqBodyAcc.skewness.Y,num
freqBodyAcc.kurtosis.Y,num
freqBodyAcc.skewness.Z,num
freqBodyAcc.kurtosis.Z,num
freqBodyAcc.bandsEnergy.18,num
freqBodyAcc.bandsEnergy.916,num
freqBodyAcc.bandsEnergy.1724,num
freqBodyAcc.bandsEnergy.2532,num
freqBodyAcc.bandsEnergy.3340,num
freqBodyAcc.bandsEnergy.4148,num
freqBodyAcc.bandsEnergy.4956,num
freqBodyAcc.bandsEnergy.5764,num
freqBodyAcc.bandsEnergy.116,num
freqBodyAcc.bandsEnergy.1732,num
freqBodyAcc.bandsEnergy.3348,num
freqBodyAcc.bandsEnergy.4964,num
freqBodyAcc.bandsEnergy.124,num
freqBodyAcc.bandsEnergy.2548,num
freqBodyAcc.bandsEnergy.18,num
freqBodyAcc.bandsEnergy.916,num
freqBodyAcc.bandsEnergy.1724,num
freqBodyAcc.bandsEnergy.2532,num
freqBodyAcc.bandsEnergy.3340,num
freqBodyAcc.bandsEnergy.4148,num
freqBodyAcc.bandsEnergy.4956,num
freqBodyAcc.bandsEnergy.5764,num
freqBodyAcc.bandsEnergy.116,num
freqBodyAcc.bandsEnergy.1732,num
freqBodyAcc.bandsEnergy.3348,num
freqBodyAcc.bandsEnergy.4964,num
freqBodyAcc.bandsEnergy.124,num
freqBodyAcc.bandsEnergy.2548,num
freqBodyAcc.bandsEnergy.18,num
freqBodyAcc.bandsEnergy.916,num
freqBodyAcc.bandsEnergy.1724,num
freqBodyAcc.bandsEnergy.2532,num
freqBodyAcc.bandsEnergy.3340,num
freqBodyAcc.bandsEnergy.4148,num
freqBodyAcc.bandsEnergy.4956,num
freqBodyAcc.bandsEnergy.5764,num
freqBodyAcc.bandsEnergy.116,num
freqBodyAcc.bandsEnergy.1732,num
freqBodyAcc.bandsEnergy.3348,num
freqBodyAcc.bandsEnergy.4964,num
freqBodyAcc.bandsEnergy.124,num
freqBodyAcc.bandsEnergy.2548,num
freqBodyAccJerk.mean.X,num
freqBodyAccJerk.mean.Y,num
freqBodyAccJerk.mean.Z,num
freqBodyAccJerk.std.X,num
freqBodyAccJerk.std.Y,num
freqBodyAccJerk.std.Z,num
freqBodyAccJerk.mad.X,num
freqBodyAccJerk.mad.Y,num
freqBodyAccJerk.mad.Z,num
freqBodyAccJerk.max.X,num
freqBodyAccJerk.max.Y,num
freqBodyAccJerk.max.Z,num
freqBodyAccJerk.min.X,num
freqBodyAccJerk.min.Y,num
freqBodyAccJerk.min.Z,num
freqBodyAccJerk.sma,num
freqBodyAccJerk.energy.X,num
freqBodyAccJerk.energy.Y,num
freqBodyAccJerk.energy.Z,num
freqBodyAccJerk.iqr.X,num
freqBodyAccJerk.iqr.Y,num
freqBodyAccJerk.iqr.Z,num
freqBodyAccJerk.entropy.X,num
freqBodyAccJerk.entropy.Y,num
freqBodyAccJerk.entropy.Z,num
freqBodyAccJerk.maxInds.X,num
freqBodyAccJerk.maxInds.Y,num
freqBodyAccJerk.maxInds.Z,num
freqBodyAccJerk.meanFreq.X,num
freqBodyAccJerk.meanFreq.Y,num
freqBodyAccJerk.meanFreq.Z,num
freqBodyAccJerk.skewness.X,num
freqBodyAccJerk.kurtosis.X,num
freqBodyAccJerk.skewness.Y,num
freqBodyAccJerk.kurtosis.Y,num
freqBodyAccJerk.skewness.Z,num
freqBodyAccJerk.kurtosis.Z,num
freqBodyAccJerk.bandsEnergy.18,num
freqBodyAccJerk.bandsEnergy.916,num
freqBodyAccJerk.bandsEnergy.1724,num
freqBodyAccJerk.bandsEnergy.2532,num
freqBodyAccJerk.bandsEnergy.3340,num
freqBodyAccJerk.bandsEnergy.4148,num
freqBodyAccJerk.bandsEnergy.4956,num
freqBodyAccJerk.bandsEnergy.5764,num
freqBodyAccJerk.bandsEnergy.116,num
freqBodyAccJerk.bandsEnergy.1732,num
freqBodyAccJerk.bandsEnergy.3348,num
freqBodyAccJerk.bandsEnergy.4964,num
freqBodyAccJerk.bandsEnergy.124,num
freqBodyAccJerk.bandsEnergy.2548,num
freqBodyAccJerk.bandsEnergy.18,num
freqBodyAccJerk.bandsEnergy.916,num
freqBodyAccJerk.bandsEnergy.1724,num
freqBodyAccJerk.bandsEnergy.2532,num
freqBodyAccJerk.bandsEnergy.3340,num
freqBodyAccJerk.bandsEnergy.4148,num
freqBodyAccJerk.bandsEnergy.4956,num
freqBodyAccJerk.bandsEnergy.5764,num
freqBodyAccJerk.bandsEnergy.116,num
freqBodyAccJerk.bandsEnergy.1732,num
freqBodyAccJerk.bandsEnergy.3348,num
freqBodyAccJerk.bandsEnergy.4964,num
freqBodyAccJerk.bandsEnergy.124,num
freqBodyAccJerk.bandsEnergy.2548,num
freqBodyAccJerk.bandsEnergy.18,num
freqBodyAccJerk.bandsEnergy.916,num
freqBodyAccJerk.bandsEnergy.1724,num
freqBodyAccJerk.bandsEnergy.2532,num
freqBodyAccJerk.bandsEnergy.3340,num
freqBodyAccJerk.bandsEnergy.4148,num
freqBodyAccJerk.bandsEnergy.4956,num
freqBodyAccJerk.bandsEnergy.5764,num
freqBodyAccJerk.bandsEnergy.116,num
freqBodyAccJerk.bandsEnergy.1732,num
freqBodyAccJerk.bandsEnergy.3348,num
freqBodyAccJerk.bandsEnergy.4964,num
freqBodyAccJerk.bandsEnergy.124,num
freqBodyAccJerk.bandsEnergy.2548,num
freqBodyGyro.mean.X,num
freqBodyGyro.mean.Y,num
freqBodyGyro.mean.Z,num
freqBodyGyro.std.X,num
freqBodyGyro.std.Y,num
freqBodyGyro.std.Z,num
freqBodyGyro.mad.X,num
freqBodyGyro.mad.Y,num
freqBodyGyro.mad.Z,num
freqBodyGyro.max.X,num
freqBodyGyro.max.Y,num
freqBodyGyro.max.Z,num
freqBodyGyro.min.X,num
freqBodyGyro.min.Y,num
freqBodyGyro.min.Z,num
freqBodyGyro.sma,num
freqBodyGyro.energy.X,num
freqBodyGyro.energy.Y,num
freqBodyGyro.energy.Z,num
freqBodyGyro.iqr.X,num
freqBodyGyro.iqr.Y,num
freqBodyGyro.iqr.Z,num
freqBodyGyro.entropy.X,num
freqBodyGyro.entropy.Y,num
freqBodyGyro.entropy.Z,num
freqBodyGyro.maxInds.X,num
freqBodyGyro.maxInds.Y,num
freqBodyGyro.maxInds.Z,num
freqBodyGyro.meanFreq.X,num
freqBodyGyro.meanFreq.Y,num
freqBodyGyro.meanFreq.Z,num
freqBodyGyro.skewness.X,num
freqBodyGyro.kurtosis.X,num
freqBodyGyro.skewness.Y,num
freqBodyGyro.kurtosis.Y,num
freqBodyGyro.skewness.Z,num
freqBodyGyro.kurtosis.Z,num
freqBodyGyro.bandsEnergy.18,num
freqBodyGyro.bandsEnergy.916,num
freqBodyGyro.bandsEnergy.1724,num
freqBodyGyro.bandsEnergy.2532,num
freqBodyGyro.bandsEnergy.3340,num
freqBodyGyro.bandsEnergy.4148,num
freqBodyGyro.bandsEnergy.4956,num
freqBodyGyro.bandsEnergy.5764,num
freqBodyGyro.bandsEnergy.116,num
freqBodyGyro.bandsEnergy.1732,num
freqBodyGyro.bandsEnergy.3348,num
freqBodyGyro.bandsEnergy.4964,num
freqBodyGyro.bandsEnergy.124,num
freqBodyGyro.bandsEnergy.2548,num
freqBodyGyro.bandsEnergy.18,num
freqBodyGyro.bandsEnergy.916,num
freqBodyGyro.bandsEnergy.1724,num
freqBodyGyro.bandsEnergy.2532,num
freqBodyGyro.bandsEnergy.3340,num
freqBodyGyro.bandsEnergy.4148,num
freqBodyGyro.bandsEnergy.4956,num
freqBodyGyro.bandsEnergy.5764,num
freqBodyGyro.bandsEnergy.116,num
freqBodyGyro.bandsEnergy.1732,num
freqBodyGyro.bandsEnergy.3348,num
freqBodyGyro.bandsEnergy.4964,num
freqBodyGyro.bandsEnergy.124,num
freqBodyGyro.bandsEnergy.2548,num
freqBodyGyro.bandsEnergy.18,num
freqBodyGyro.bandsEnergy.916,num
freqBodyGyro.bandsEnergy.1724,num
freqBodyGyro.bandsEnergy.2532,num
freqBodyGyro.bandsEnergy.3340,num
freqBodyGyro.bandsEnergy.4148,num
freqBodyGyro.bandsEnergy.4956,num
freqBodyGyro.bandsEnergy.5764,num
freqBodyGyro.bandsEnergy.116,num
freqBodyGyro.bandsEnergy.1732,num
freqBodyGyro.bandsEnergy.3348,num
freqBodyGyro.bandsEnergy.4964,num
freqBodyGyro.bandsEnergy.124,num
freqBodyGyro.bandsEnergy.2548,num
freqBodyAccMag.mean,num
freqBodyAccMag.std,num
freqBodyAccMag.mad,num
freqBodyAccMag.max,num
freqBodyAccMag.min,num
freqBodyAccMag.sma,num
freqBodyAccMag.energy,num
freqBodyAccMag.iqr,num
freqBodyAccMag.entropy,num
freqBodyAccMag.maxInds,num
freqBodyAccMag.meanFreq,num
freqBodyAccMag.skewness,num
freqBodyAccMag.kurtosis,num
freqBodyBodyAccJerkMag.mean,num
freqBodyBodyAccJerkMag.std,num
freqBodyBodyAccJerkMag.mad,num
freqBodyBodyAccJerkMag.max,num
freqBodyBodyAccJerkMag.min,num
freqBodyBodyAccJerkMag.sma,num
freqBodyBodyAccJerkMag.energy,num
freqBodyBodyAccJerkMag.iqr,num
freqBodyBodyAccJerkMag.entropy,num
freqBodyBodyAccJerkMag.maxInds,num
freqBodyBodyAccJerkMag.meanFreq,num
freqBodyBodyAccJerkMag.skewness,num
freqBodyBodyAccJerkMag.kurtosis,num
freqBodyBodyGyroMag.mean,num
freqBodyBodyGyroMag.std,num
freqBodyBodyGyroMag.mad,num
freqBodyBodyGyroMag.max,num
freqBodyBodyGyroMag.min,num
freqBodyBodyGyroMag.sma,num
freqBodyBodyGyroMag.energy,num
freqBodyBodyGyroMag.iqr,num
freqBodyBodyGyroMag.entropy,num
freqBodyBodyGyroMag.maxInds,num
freqBodyBodyGyroMag.meanFreq,num
freqBodyBodyGyroMag.skewness,num
freqBodyBodyGyroMag.kurtosis,num
freqBodyBodyGyroJerkMag.mean,num
freqBodyBodyGyroJerkMag.std,num
freqBodyBodyGyroJerkMag.mad,num
freqBodyBodyGyroJerkMag.max,num
freqBodyBodyGyroJerkMag.min,num
freqBodyBodyGyroJerkMag.sma,num
freqBodyBodyGyroJerkMag.energy,num
freqBodyBodyGyroJerkMag.iqr,num
freqBodyBodyGyroJerkMag.entropy,num
freqBodyBodyGyroJerkMag.maxInds,num
freqBodyBodyGyroJerkMag.meanFreq,num
freqBodyBodyGyroJerkMag.skewness,num
freqBodyBodyGyroJerkMag.kurtosis,num
angletimeBodyAccMeangravity,num
angletimeBodyAccJerkMeangravityMean,num
angletimeBodyGyroMeangravityMean,num
angletimeBodyGyroJerkMeangravityMean,num
angleXgravityMean,num
angleYgravityMean,num
angleZgravityMean,num
